trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-131.5390591968775,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-28.135141021895272,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,11,1.0226477901836222,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",30,0,-39.79799277355588,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,7,-2.3160695931471698,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",35,0,-203.61945366100187,"{0: 17, 1: 7, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-77.24638756665323,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-51.044852615138325,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,10,15.758125770762314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,10,4.528563484991103,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-34.984605417084126,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-83.88481992605668,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,8,-4.748075093327288,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",30,18,4.3503071368400015,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,12,5.117657411885067,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,13,15.169777919437962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",30,0,-25.60088811491871,"{0: 21, 1: 8, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,0,-76.8676794731206,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-119.07873418301288,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-37.0827736686509,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,-13.259573695101663,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,14,12.190020171541663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",20,11,15.765303942490627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,16,-8.01788790555663,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,8,-63.853638960477646,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",35,0,-174.6449320986537,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,-54.46660161046394,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,14,-10.303413363068682,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",30,18,14.063454947953446,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",20,0,-176.88620028719126,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",25,0,-147.3065869809511,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,0,-131.94183318479926,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,8,-53.28480780708106,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",25,18,-0.0377850202219876,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",25,2,29.309285011415476,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-104.88197318174693,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",30,0,-143.90693100977495,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",30,0,-94.4270248984414,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",20,0,-104.43049077514041,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.408082061813392}",25,0,5.765097408282726,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
