trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.97896641860936,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.87055542954451,"{0: 15, 1: 7, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.82182018450283,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.1514899705333,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5904737233911,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.41139692481583,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.2292137627575,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.7993804854273,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.18096499813678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.62166902366897,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.41458844600024,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.83076705021783,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-179.98509646125615,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,23,-29.83033823499886,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.29390410637467,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.62206910693911,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.79872538061235,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.02500512788509,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.15029431580949,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.650845130290406,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-260.67552088316756,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.58329801768146,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.75535271882829,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.70105630071123,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.6014560698022,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.94478198912094,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.34028584054768,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,15,-11.759077538187071,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.19091391577282,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.265769120914,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
